,Nom,Infos,Prix,Date
34,ASUS DUAL Radeon RX 7900 XTX OC Edition 24GB GDDR6,24 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7900 XTX),1 169€95,2024-10-20
35,ASUS GT730-SL-2GD5-BRK - GeForce GT 730 2 Go,2 Go HDMI/DVI - PCI Express (NVIDIA GeForce avec CUDA GT 730),77€95,2024-10-20
36,ASUS Radeon RX 6600 DUAL V2 8G,8 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 6600),259€95,2024-10-20
37,ASUS Radeon RX 7600 DUAL O8G,8 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7600),299€95,2024-10-20
38,ASUS ROG Strix GeForce RTX 4070 SUPER OC Edition 12 GB,12 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),899€95,2024-10-20
39,ASUS TUF Gaming GeForce RTX 4060 Ti OC Edition 8GB,8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti),499€95,2024-10-20
40,ASUS TUF Gaming GeForce RTX 4070 SUPER OC Edition 12 GB,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),839€95,2024-10-20
41,ASUS TUF Gaming GeForce RTX 4080 SUPER OC Edition 16 GB,16 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4080 SUPER),1 379€95,2024-10-20
42,ASUS TUF Gaming Radeon RX 7600 XT OC Edition 16GB GDDR6,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7600 XT),459€95,2024-10-20
43,ASUS TUF Gaming Radeon RX 7900 XTX OC Edition 24GB GDDR6,24 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7900 XTX),1 099€95,2024-10-20
44,ASUS TUF Radeon RX 7800 XT O16G Gaming,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7800 XT),639€95,2024-10-20
45,ASUS TUF Radeon RX 7800 XT OG O16G Gaming,16 Go GDDR6 - HDMI/Tri DisplayPort - PCI Express (AMD Radeon RX 7800 XT),589€95,2024-10-20
46,ASUS Dual GeForce RTX 4060 White OC Edition 8GB,8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060),374€95,2024-10-20
47,ASUS ProArt GeForce RTX 4070 Ti SUPER OC Edition 16GB,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),1 099€95,2024-10-20
48,ASUS ROG Strix GeForce RTX 4070 Ti SUPER OC Edition 16GB,16 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),1 169€95,2024-10-20
49,ASUS TUF Gaming GeForce RTX 4070 Ti SUPER BTF White OC Edition 16GB,16 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER),1 099€95,2024-10-20
50,ASUS TUF Gaming GeForce RTX 4070 Ti SUPER OC Edition 16GB,16 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER,999€95,2024-10-20
51,ASUS TUF Gaming GeForce RTX 4070 Ti SUPER White OC Edition 16GB,16 Go GDDR6X - Dual HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 Ti SUPER,1 089€95,2024-10-20
52,Asus GeForce GT 710 2GB GDDR5 EVO,2 Go GDDR5 - HDMI/DVI/VGA - PCI Express (NVIDIA GeForce GT 710),54€95,2024-10-20
53,ASUS Dual GeForce RTX 4060 Ti EVO OC Edition 8GB,8 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti),459€95,2024-10-20
54,ASUS Dual GeForce RTX 4060 Ti OC Edition 16GB,16 Go GDDR6 - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4060 Ti),539€95,2024-10-20
55,ASUS Dual GeForce RTX 4070 SUPER 12G,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),749€95,2024-10-20
56,ASUS Dual GeForce RTX 4070 SUPER EVO OC Edition 12GB GDDR6X,12 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4070 SUPER),699€95,2024-10-20
57,ASUS ProArt GeForce RTX 4080 SUPER OC Edition 16 GB,16 Go GDDR6X - HDMI/Tri DisplayPort - DLSS 3 - PCI Express (NVIDIA GeForce RTX 4080 SUPER),1 279€95,2024-10-20
